scenario,variant,replicate,method,target_function,noise_std,depth,width,parameter_count,objective,train_mse,clean_mse,test_mse,violation_rate,training_time_s,objective_evaluations,acceptance_rate
function,mixed_surface,1,GD,mixed_surface,0.0,1,40,161,0.10699887218179051,0.10699887218179051,0.10699887218179051,0.09848191361828082,0.8832,0.4701179580297321,2000.0,
function,mixed_surface,1,MC,mixed_surface,0.0,1,40,161,0.16380280814206177,0.16380280814206177,0.16380280814206177,0.16545246386908372,0.9033599999999999,0.2715970584657043,2000.0,0.0268
function,mixed_surface,2,GD,mixed_surface,0.0,1,40,161,0.13678041762659107,0.13678041762659107,0.13678041762659107,0.12895074020861416,0.8832,0.4636599160730839,2000.0,
function,mixed_surface,2,MC,mixed_surface,0.0,1,40,161,0.16380575153425858,0.16380575153425858,0.16380575153425858,0.16487247566668245,0.90528,0.2524406247772276,2000.0,0.0312
function,mixed_surface,3,GD,mixed_surface,0.0,1,40,161,0.11239223474868172,0.11239223474868172,0.11239223474868172,0.10369221629755464,0.8864,0.4274647501297295,2000.0,
function,mixed_surface,3,MC,mixed_surface,0.0,1,40,161,0.16364095814091026,0.16364095814091026,0.16364095814091026,0.16472195850690574,0.90144,0.25753057496622206,2000.0,0.0349
function,mixed_surface,4,GD,mixed_surface,0.0,1,40,161,0.09885898839364242,0.09885898839364242,0.09885898839364242,0.0920839741335756,0.8864,0.4629711250308901,2000.0,
function,mixed_surface,4,MC,mixed_surface,0.0,1,40,161,0.16437507730630702,0.16437507730630702,0.16437507730630702,0.16549277649617058,0.9030400000000001,0.26263218335807326,2000.0,0.0305
function,mixed_surface,5,GD,mixed_surface,0.0,1,40,161,0.08623511272718784,0.08623511272718784,0.08623511272718784,0.0815065512154758,0.8896,0.4619942088611424,2000.0,
function,mixed_surface,5,MC,mixed_surface,0.0,1,40,161,0.16137164579707425,0.16137164579707425,0.16137164579707425,0.16183198195315532,0.89824,0.26707419981248676,2000.0,0.031
function,mixed_surface,6,GD,mixed_surface,0.0,1,40,161,0.10569556371008303,0.10569556371008303,0.10569556371008303,0.09732534627663426,0.8816,0.4360883750487119,2000.0,
function,mixed_surface,6,MC,mixed_surface,0.0,1,40,161,0.16346596592745768,0.16346596592745768,0.16346596592745768,0.16390944772114519,0.90784,0.27120019155554476,2000.0,0.0303
